Country,state,route,year,month,day,Obs,TotalSpp,StartTemp,EndTemp,TempScale,StartWind,EndWind,StartSky,EndSky,StartTime,EndTime,assistant,RunType
840,53,301,2016,7,5,        981413,44,55,60,F,1,3,2,2,0510,1001,0,1
840,53,301,2017,7,6,        981413,44,62,73,F,0,0,0,0,0504,1007,0,1
840,53,301,2018,6,19,        981413,43,59,63,F,1,1,5,2,0505,0951,0,1
840,53,301,2019,6,19,        981413,46,65,61,F,1,4,1,2,0505,1009,0,1
840,53,302,2015,6,19,       1041106,63,42,73,F,1,4,0,1,0507,1045,1,1
840,53,302,2016,6,20,       1041106,64,37,73,F,0,1,1,0,0513,1053,1,1
840,53,302,2017,6,22,       1041106,69,36,63,F,0,3,0,1,0503,1137,1,0
840,53,302,2018,6,20,       1041106,76,40,69,F,0,2,0,1,0516,1123,1,1
840,53,302,2019,6,24,       1041106,72,48,59,F,1,3,2,2,0513,1104,1,1
840,53,303,2015,6,7,       1041101,46,54,77,F,2,1,0,0,0500,0935,0,1
840,53,303,2016,6,10,       1041101,47,47,66,F,2,2,0,1,0500,0946,0,1
840,53,303,2017,6,12,       1041101,50,42,63,F,1,1,0,0,0500,0932,0,1
840,53,303,2018,6,8,       1041101,54,59,64,F,2,3,1,0,0500,0951,0,1
840,53,303,2019,6,16,       1041101,50,51,54,F,2,1,2,1,0500,0942,0,1
840,53,312,2015,6,27,       1060400,38,60,78,F,0,1,0,0,0508,1020,0,1
840,53,312,2016,7,11,       1060400,41,50,60,F,0,3,2,2,0508,1049,0,1
840,53,312,2017,6,14,       1151599,38,49,48,F,1,2,2,1,0510,1046,0,1
840,53,312,2018,6,14,       1151599,47,52,53,F,2,3,5,1,0508,1046,0,1
840,53,312,2019,6,19,       1140759,33,54,67,F,1,2,2,1,0508,1147,0,0
840,53,313,2015,6,19,       1151546,61,55,78,F,1,2,0,2,0507,1032,0,1
840,53,313,2016,6,17,       1151546,51,40,75,F,1,3,1,2,0502,1100,0,1
840,53,313,2017,6,19,       1151546,55,50,72,F,1,3,0,0,0500,1040,0,1
840,53,313,2019,6,11,       1151546,63,50,60,F,1,0,1,2,0503,1007,0,1
840,53,315,2016,6,14,       1151492,49,58,80,F,1,1,1,1,0510,1010,0,1
840,53,315,2017,6,19,       1151492,44,51,65,F,3,2,1,2,0454,1011,0,1
840,53,315,2018,6,25,       1151492,44,51,81,F,1,1,0,0,0458,1010,0,1
840,53,315,2019,6,12,       1151492,53,44,70,F,1,1,0,0,0454,1017,0,1
840,53,322,2015,7,10,       1150711,44,49,57,F,0,0,1,2,0510,0939,1,1
840,53,322,2016,6,26,       1150711,46,34,59,F,0,2,0,0,0510,0953,1,1
840,53,322,2017,6,25,       1150711,46,38,62,F,0,1,0,0,0510,0935,1,1
840,53,322,2018,6,22,       1150711,39,51,57,F,0,0,2,1,0512,0940,1,1
840,53,322,2019,6,23,       1150711,53,38,62,F,1,2,2,1,0510,1033,1,1
840,53,323,2015,6,17,       1190923,41,54,55,F,0,1,0,2,0504,1105,0,1
840,53,323,2016,6,10,       1190923,44,45,61,F,0,0,0,0,0504,1047,1,0
